LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
203,2313,143598,Primary,29,19,7,26.7,13.7,4.9,15.3,"£39,985"
203,2325,100134,Primary,35,31,9,34,26.7,7.7,19.3,"£35,293"
203,2353,100136,Primary,30,20,7,29.3,13.2,6,13.5,"£43,712"
203,2410,100137,Primary,20,15,12,15.8,10,6.7,14.4,"£46,997"
203,2471,100140,Primary,40,40,24,35.9,30.4,13.2,21.4,"£45,938"
203,2552,100141,Primary,19,23,7,17.8,17.8,5.7,25.2,"£37,640"
203,2598,100142,Primary,10,12,6,9,6.7,5,25.1,"£39,331"
203,2656,143594,Primary,40,29,14,38.1,21.1,13.4,15.1,"£41,644"
203,2662,100146,Primary,20,31,5,16.6,23.1,4.2,24.4,"£50,327"
203,2790,143210,Primary,15,7,6,13.4,4.9,4.7,17.9,"£36,152"
203,2798,100149,Primary,25,26,6,20.7,19.4,4,21.0,"£45,084"
203,2801,100150,Primary,28,27,8,26.4,18.1,7.1,16.3,"£42,465"
203,2804,143593,Primary,13,14,5,12.2,8.3,4.1,18.3,"£45,718"
203,2813,100152,Primary,32,35,9,28.9,30.6,8.3,19.9,"£42,612"
203,2851,100154,Primary,26,31,6,24.2,15.1,4.9,16.3,"£42,285"
203,2877,100155,Primary,25,20,11,21.6,14.3,10.3,20.2,"£50,064"
203,2885,143592,Primary,36,43,11,34.6,34.2,8.5,19.1,"£44,009"
203,2890,143079,Primary,47,41,16,43.4,31.1,12.3,18.4,"£43,979"
203,2900,100158,Primary,45,25,29,41,17.2,19.9,20.3,"£41,169"
203,2901,100159,Primary,24,20,8,22.2,18.2,7.6,16.6,"£44,964"
203,2902,145215,Primary,14,13,7,11.1,8.2,6,20.4,"£45,589"
203,2915,100162,Primary,15,16,4,11.6,9.3,3.9,19.1,"£46,250"
203,2916,100163,Primary,21,27,22,19.1,18,18.4,22.0,"£41,945"
203,2917,100164,Primary,13,22,10,13,15.2,9.1,34.3,"£46,055"
203,2918,130921,Primary,20,32,7,19.8,21.2,5.9,20.8,"£46,558"
203,2919,143209,Primary,19,22,6,18.4,14.7,4.9,21.9,"£43,771"
203,2920,143596,Primary,35,23,10,32.2,18.6,9,18.7,"£43,138"
203,2921,131246,Primary,53,64,11,41.3,39.1,7.7,19.2,"£38,465"
203,2922,131841,Primary,35,39,8,34,25.2,7,17.3,"£40,052"
203,2923,143599,Primary,26,19,8,21.5,11.8,5.7,21.5,"£49,213"
203,2924,132800,Primary,23,21,4,21.7,15.4,3.1,19.9,"£38,330"
203,2925,132827,Primary,28,22,28,25.6,19.1,17.6,17.0,"£40,584"
203,3322,100165,Primary,11,13,5,11,9.9,3.4,17.0,"£54,052"
203,3331,100166,Primary,9,15,5,8.6,9.7,3.1,24.4,"£43,911"
203,3338,100167,Primary,25,21,5,22.3,15.2,3.7,19.4,"£42,233"
203,3382,100168,Primary,18,16,6,14,11.9,3.8,21.3,"£43,680"
203,3481,100169,Primary,12,16,3,10.8,13.2,2.7,17.8,"£45,519"
203,3500,100170,Primary,19,19,11,16.5,11.3,5.9,19.4,"£44,408"
203,3526,100171,All through,73,58,24,70.5,42.5,19,16.3,"£40,603"
203,3535,144091,Primary,19,19,5,17.4,12.7,3.6,25.8,"£42,828"
203,3561,100173,Primary,17,7,4,15.2,6.3,3.2,22.5,"£37,474"
203,3577,100174,Primary,13,9,6,11.9,7.3,4.8,19.1,"£48,637"
203,3585,100175,Primary,10,9,4,9.2,7.2,3.1,22.7,"£43,887"
203,3604,100176,Primary,9,9,3,8.8,6.8,1.9,22.6,"£45,049"
203,3632,100177,Primary,25,26,4,21.9,17.3,3.9,17.1,"£39,430"
203,3657,100178,Primary,6,10,8,6,7.9,3.9,28.7,"£44,059"
203,3662,100179,Primary,10,7,2,8.2,6.2,1.7,23.3,"£43,927"
203,3666,100180,Primary,11,11,3,10.6,7.8,3,19.5,"£43,285"
203,3668,100181,Primary,14,13,3,12.7,9.6,2.9,15.7,"£39,578"
203,3670,131109,Primary,30,38,21,29.4,33.2,19.7,22.1,"£45,628"
203,4000,138449,Secondary,92,8,21,89.5,7.3,20.1,12.8,"£50,140"
203,4001,138245,Secondary,37,13,15,36.8,12.9,13.9,15.0,"£39,508"
203,4003,142608,Secondary,NA,NA,NA,NA,NA,NA,NA,NA
203,4006,143927,Secondary,19,1,6,18.6,1,6,32.5,"£38,032"
203,4007,145315,Secondary,75,33,32,73.8,27.9,31.5,14.0,"£49,207"
203,4008,145895,Secondary,NA,NA,NA,NA,NA,NA,NA,NA
203,4077,100182,Secondary,72,10,21,68.1,7.9,17.8,16.4,"£48,069"
203,4130,100183,Secondary,110,39,46,98.6,33.8,32.4,14.5,"£45,557"
203,4250,141163,Secondary,120,27,36,114.4,22.4,32.1,13.2,"£46,694"
203,4271,141309,Secondary,86,30,31,79.6,23.2,30,20.2,"£44,799"
203,4294,100190,Secondary,120,42,47,110.4,40.2,42.4,17.3,"£46,617"
